StockCode,Rule1
ADANIPORTS,
ASIANPAINT,1.0
AXISBANK,
BAJAJ-AUTO,
BAJAJFINSV,1.0
BAJFINANCE,1.0
BHARTIARTL,
INFRATEL,
BPCL,1.0
BRITANNIA,1.0
CIPLA,
COALINDIA,
DRREDDY,
EICHERMOT,
GAIL,
GRASIM,
HCLTECH,1.0
HDFC,
HDFCBANK,
HDFCLIFE,
HEROMOTOCO,
HINDALCO,
HINDUNILVR,
ICICIBANK,
INDUSINDBK,1.0
INFY,1.0
IOC,
ITC,
JSWSTEEL,
KOTAKBANK,
LT,
M%26M,
MARUTI,
NESTLEIND,
NTPC,
ONGC,
POWERGRID,
RELIANCE,
SBIN,
SHREECEM,
SUNPHARMA,
TATAMOTORS,
TATASTEEL,1.0
TCS,
TECHM,
TITAN,1.0
ULTRACEMCO,
UPL,1.0
WIPRO,
ZEEL,
